trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
22,False,"{'a': 0.001, 'e': 0.9792189645694596}",20,0,-94.65745931578734,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.001, 'e': 0.97824023505121}",30,0,-146.43542984518567,"{0: 17, 1: 1, 2: 8, 3: 4, 4: 0}",0
24,False,"{'a': 0.001, 'e': 0.9772624837732771}",30,0,-178.02939924743984,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
25,False,"{'a': 0.001, 'e': 0.9762857097579093}",20,0,-93.40476822882187,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.001, 'e': 0.9753099120283326}",25,0,-160.1869982945557,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
27,False,"{'a': 0.001, 'e': 0.9743350896087494}",25,0,-164.9070076741603,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
28,False,"{'a': 0.001, 'e': 0.9733612415243368}",20,0,-79.23782853804829,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.001, 'e': 0.9723883668012469}",20,0,-76.75951764626204,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.001, 'e': 0.9714164644666048}",25,0,-95.18826451836722,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.001, 'e': 0.9704455335485082}",20,0,-213.02483068653214,"{0: 10, 1: 0, 2: 4, 3: 3, 4: 3}",0
32,False,"{'a': 0.001, 'e': 0.9694755730760259}",20,0,-157.02638483971447,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
33,False,"{'a': 0.001, 'e': 0.9685065820791976}",20,0,-152.41681333413177,"{0: 7, 1: 5, 2: 5, 3: 2, 4: 1}",0
